,Customer_id,Customer_name,Region_name
0,1,"СЗАО ""СКВО"" Зерноградский 6111007299",Ростовская область
1,3,"Федеральное государственное бюджетное научное учреждение ""Аграрный научный центр ""Донской"" Зерноградский район 6111004668",Ростовская область
2,4,"ООО ""Дельта"" Константиновский район 6116009162",Ростовская область
3,5,ИП Глава К(Ф)Х Карпенко Вячеслав Викторович Зерноградский район 611104339459,Ростовская область
4,6,"ООО ""Альтаир-Агро 2"" Зерноградский район 6111984495",Ростовская область
5,7,ИП Сказкин Александр Иванович Глава Крестьянского (Фермерского) хозяйства Константиновский район 611600026622,Ростовская область
6,8,"ООО ""Восход"" Константиновский Константиновский район 6116001477",Ростовская область
7,9,"ООО ""ТОРГОВЫЙ ДОМ СКВО"" Зерноградский район 6111013454",Ростовская область
8,10,ИП Глава КФХ Приходченко Татьяна Викторовна городской округ Ростов-на-Дну 616266686208,Ростовская область
9,11,"ООО ""Сорго"" Зерноградский район 6111013006",Ростовская область
10,13,"К(Ф)Х  ""Наследник"" Константиновский район 6116002086",Ростовская область
11,16,ИП Каргин Николай Николаевич глава К(Ф)Х Константиновский район 611600005608,Ростовская область
12,17,"АО ""Зерноградское ДРСУ"" Зерноградский район 6111013951",Ростовская область
13,18,"ООО ""Заря"" Тацинский Тацинский район 6134011862",Ростовская область
14,20,ИП Бирюков В.И. глава К(Ф)Х Константиновский район 611600109131,Ростовская область
15,21,"ООО ""Южное"" Константиновский район 6116008320",Ростовская область
16,22,"ООО КХ ""Перетятько А.А."" Зерноградский 6111009426",Ростовская область
17,23,"ООО ""КХ Перетятько Ю.А."" Зерноградский район 6111002318",Ростовская область
18,24,ИП Благодарная Татьяна Анатольевна Глава К(Ф)Х Азовский район 230606255273,Ростовская область
19,25,"АО ""Колушкинское"" Тарасовский район 6133005954",Ростовская область
20,26,"ООО ""Благодарное"" Щербиновский 2358006773",Краснодарский край
21,27,"ООО ""Колесников"" Сальский район 6153026977",Ростовская область
22,28,"СПК ""имени Ангельева"" Сальский район 6153014428",Ростовская область
23,29,ИП Глава К(Ф)Х Кирнос Алексей Дмитриевич Сальский район 615300128691,Ростовская область
